C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,7:00:00,REGULAR,6159103,4137246
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,11:00:00,REGULAR,6159408,4137302
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,15:00:00,REGULAR,6159580,4137375
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,19:00:00,REGULAR,6159726,4137541
C024,R214,00-00-02,77 ST,R,BMT,12/30/19,23:00:00,REGULAR,6159775,4137601
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,3:00:00,REGULAR,6159782,4137618
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,7:00:00,REGULAR,6159834,4137625
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,11:00:00,REGULAR,6160051,4137674
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,15:00:00,REGULAR,6160200,4137739
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,19:00:00,REGULAR,6160343,4137873
C024,R214,00-00-02,77 ST,R,BMT,12/31/19,23:00:00,REGULAR,6160444,4137925
C024,R214,00-00-02,77 ST,R,BMT,1/1/20,3:00:00,REGULAR,6160472,4137964
C024,R214,00-00-02,77 ST,R,BMT,1/1/20,7:00:00,REGULAR,6160490,4137978
C024,R214,00-00-02,77 ST,R,BMT,1/1/20,11:00:00,REGULAR,6160536,4137993
C024,R214,00-00-02,77 ST,R,BMT,1/1/20,15:00:00,REGULAR,6160626,4138018
C024,R214,00-00-02,77 ST,R,BMT,1/1/20,19:00:00,REGULAR,6160716,4138094
C024,R214,00-00-02,77 ST,R,BMT,1/1/20,23:00:00,REGULAR,6160771,4138141
C024,R214,00-00-02,77 ST,R,BMT,1/2/20,3:00:00,REGULAR,6160774,4138155
C024,R214,00-00-02,77 ST,R,BMT,1/2/20,7:00:00,REGULAR,6160858,4138163
C024,R214,00-00-02,77 ST,R,BMT,1/2/20,11:00:00,REGULAR,6161306,4138218
C024,R214,00-00-02,77 ST,R,BMT,1/2/20,15:00:00,REGULAR,6161457,4138267
C024,R214,00-00-02,77 ST,R,BMT,1/2/20,19:00:00,REGULAR,6161595,4138485
C024,R214,00-00-02,77 ST,R,BMT,1/2/20,23:00:00,REGULAR,6161647,4138595
C024,R214,00-00-02,77 ST,R,BMT,1/3/20,3:00:00,REGULAR,6161651,4138625
C024,R214,00-00-02,77 ST,R,BMT,1/3/20,7:00:00,REGULAR,6161719,4138637
C024,R214,00-00-02,77 ST,R,BMT,1/3/20,11:00:00,REGULAR,6162121,4138693
C024,R214,00-00-02,77 ST,R,BMT,1/3/20,15:00:00,REGULAR,6162238,4138755
C024,R214,00-00-02,77 ST,R,BMT,1/3/20,19:00:00,REGULAR,6162372,4138972
C024,R214,00-00-02,77 ST,R,BMT,1/3/20,23:00:00,REGULAR,6162427,4139078
C024,R214,00-00-03,77 ST,R,BMT,12/28/19,3:00:00,REGULAR,9992239,9314735
C024,R214,00-00-03,77 ST,R,BMT,12/28/19,7:00:00,REGULAR,9992298,9314757
C024,R214,00-00-03,77 ST,R,BMT,12/28/19,11:00:00,REGULAR,9992491,9314823
C024,R214,00-00-03,77 ST,R,BMT,12/28/19,15:00:00,REGULAR,9992748,9314905
C024,R214,00-00-03,77 ST,R,BMT,12/28/19,19:00:00,REGULAR,9992963,9315121
C024,R214,00-00-03,77 ST,R,BMT,12/28/19,23:00:00,REGULAR,9993102,9315274
C024,R214,00-00-03,77 ST,R,BMT,12/29/19,3:00:00,REGULAR,9993129,9315333
C024,R214,00-00-03,77 ST,R,BMT,12/29/19,7:00:00,REGULAR,9993160,9315354
C024,R214,00-00-03,77 ST,R,BMT,12/29/19,11:00:00,REGULAR,9993324,9315403
C024,R214,00-00-03,77 ST,R,BMT,12/29/19,15:00:00,REGULAR,9993523,9315498
C024,R214,00-00-03,77 ST,R,BMT,12/29/19,19:00:00,REGULAR,9993684,9315654
C024,R214,00-00-03,77 ST,R,BMT,12/29/19,23:00:00,REGULAR,9993775,9315769
C024,R214,00-00-03,77 ST,R,BMT,12/30/19,3:00:00,REGULAR,9993786,9315825
C024,R214,00-00-03,77 ST,R,BMT,12/30/19,7:00:00,REGULAR,9993934,9315848
C024,R214,00-00-03,77 ST,R,BMT,12/30/19,11:00:00,REGULAR,9994435,9315946
C024,R214,00-00-03,77 ST,R,BMT,12/30/19,15:00:00,REGULAR,9994668,9316067
C024,R214,00-00-03,77 ST,R,BMT,12/30/19,19:00:00,REGULAR,9994864,9316403
C024,R214,00-00-03,77 ST,R,BMT,12/30/19,23:00:00,REGULAR,9994959,9316550
C024,R214,00-00-03,77 ST,R,BMT,12/31/19,3:00:00,REGULAR,9994983,9316619
C024,R214,00-00-03,77 ST,R,BMT,12/31/19,7:00:00,REGULAR,9995099,9316645
C024,R214,00-00-03,77 ST,R,BMT,12/31/19,11:00:00,REGULAR,9995533,9316737
C024,R214,00-00-03,77 ST,R,BMT,12/31/19,15:00:00,REGULAR,9995759,9316882
C024,R214,00-00-03,77 ST,R,BMT,12/31/19,19:00:00,REGULAR,9995995,9317141
C024,R214,00-00-03,77 ST,R,BMT,12/31/19,23:00:00,REGULAR,9996182,9317269
C024,R214,00-00-03,77 ST,R,BMT,1/1/20,3:00:00,REGULAR,9996233,9317357
C024,R214,00-00-03,77 ST,R,BMT,1/1/20,7:00:00,REGULAR,9996263,9317406
C024,R214,00-00-03,77 ST,R,BMT,1/1/20,11:00:00,REGULAR,9996352,9317437
C024,R214,00-00-03,77 ST,R,BMT,1/1/20,15:00:00,REGULAR,9996513,9317491
C024,R214,00-00-03,77 ST,R,BMT,1/1/20,19:00:00,REGULAR,9996676,9317640
C024,R214,00-00-03,77 ST,R,BMT,1/1/20,23:00:00,REGULAR,9996751,9317734
C024,R214,00-00-03,77 ST,R,BMT,1/2/20,3:00:00,REGULAR,9996768,9317776
C024,R214,00-00-03,77 ST,R,BMT,1/2/20,7:00:00,REGULAR,9996942,9317806
C024,R214,00-00-03,77 ST,R,BMT,1/2/20,11:00:00,REGULAR,9997628,9317924
C024,R214,00-00-03,77 ST,R,BMT,1/2/20,15:00:00,REGULAR,9997880,9318056
C024,R214,00-00-03,77 ST,R,BMT,1/2/20,19:00:00,REGULAR,9998114,9318436
C024,R214,00-00-03,77 ST,R,BMT,1/2/20,23:00:00,REGULAR,9998206,9318657
